temp,atemp,humidity,windspeed,hour,holiday,workingday,count
8.2,12.88,69,0.0,6,0,1,34
8.2,10.605,69,8.9981,7,0,1,84
8.2,9.85,51,16.9979,8,0,1,210
8.2,9.09,47,19.9995,9,0,1,134
9.02,9.85,37,22.0028,10,0,1,63
8.2,9.85,40,15.0013,11,0,1,67
8.2,9.85,37,16.9979,12,0,1,59
8.2,9.09,37,19.0012,13,0,1,73
8.2,9.85,40,16.9979,14,0,1,50
8.2,10.605,37,11.0014,15,0,1,72
8.2,10.605,37,11.0014,16,0,1,87
8.2,12.88,37,0.0,17,0,1,187
8.2,11.365,40,6.0032,18,0,1,123
6.56,9.85,55,6.0032,19,0,1,95
7.38,10.605,47,7.0015,20,0,1,51
7.38,9.85,47,8.9981,21,0,1,39
7.38,9.85,43,11.0014,22,0,1,36
7.38,9.85,51,11.0014,23,0,1,15
7.38,9.85,51,11.0014,0,0,0,25
7.38,10.605,55,6.0032,1,0,0,16
7.38,12.12,55,0.0,2,0,0,16
7.38,9.85,55,11.0014,3,0,0,7
7.38,9.85,55,11.0014,4,0,0,1
6.56,8.335,74,11.0014,5,0,0,5
6.56,8.335,74,11.0014,6,0,0,2
6.56,9.09,74,7.0015,7,0,0,9
6.56,9.09,93,7.0015,8,0,0,15
6.56,9.09,93,7.0015,9,0,0,20
7.38,9.85,80,11.0014,10,0,0,61
8.2,9.09,69,26.0027,11,0,0,62
8.2,9.09,59,23.9994,12,0,0,98
8.2,9.09,44,22.0028,13,0,0,102
8.2,8.335,32,32.9975,14,0,0,95
8.2,8.335,32,30.0026,15,0,0,74
7.38,6.82,29,30.0026,16,0,0,76
6.56,6.06,37,36.9974,17,0,0,69
5.74,6.06,39,19.9995,18,0,0,55
5.74,6.06,36,16.9979,19,0,0,30
4.92,6.06,36,16.9979,20,0,0,28
4.92,5.305,39,23.9994,21,0,0,37
4.92,5.305,36,26.0027,22,0,0,34
4.1,3.03,39,30.0026,23,0,0,22
4.1,3.79,42,26.0027,0,0,0,25
4.1,3.03,42,31.0009,1,0,0,12
4.1,3.03,46,31.0009,2,0,0,11
4.1,3.79,46,27.9993,3,0,0,4
3.28,4.545,53,12.998,4,0,0,1
3.28,4.545,53,12.998,5,0,0,1
4.1,4.545,49,19.0012,6,0,0,1
3.28,4.545,53,12.998,7,0,0,6
4.1,4.545,49,19.0012,8,0,0,10
4.92,3.79,46,35.0008,9,0,0,19
5.74,5.305,43,26.0027,10,0,0,49
6.56,6.06,40,35.0008,11,0,0,49
7.38,6.82,37,30.0026,12,0,0,83
8.2,8.335,34,30.0026,13,0,0,75
9.02,9.09,32,31.0009,14,0,0,72
9.02,9.85,35,23.9994,15,0,0,82
8.2,8.335,34,30.0026,16,0,0,92
7.38,7.575,37,26.0027,17,0,0,62
6.56,6.82,40,22.0028,18,0,0,48
6.56,6.82,43,22.0028,19,0,0,41
5.74,6.06,46,16.9979,20,0,0,38
5.74,5.305,46,27.9993,21,0,0,20
5.74,6.06,46,19.9995,22,0,0,15
4.92,6.82,50,12.998,23,0,0,6
4.92,6.06,50,19.0012,0,0,1,5
4.92,6.06,50,19.0012,1,0,1,1
4.92,6.06,50,15.0013,2,0,1,3
4.92,6.06,50,15.0013,3,0,1,1
4.1,6.06,54,8.9981,4,0,1,3
4.1,5.305,54,16.9979,5,0,1,3
4.92,6.06,50,19.0012,6,0,1,31
4.92,6.06,50,15.0013,7,0,1,77
4.92,6.06,50,19.0012,8,0,1,188
5.74,6.06,50,16.9979,9,0,1,94
5.74,6.06,50,19.9995,10,0,1,31
6.56,6.82,47,19.0012,11,0,1,30
8.2,9.09,40,19.0012,12,0,1,52
8.2,9.09,40,19.0012,13,0,1,54
8.2,9.85,40,15.0013,14,0,1,47
8.2,9.85,40,15.0013,15,0,1,45
8.2,10.605,40,8.9981,16,0,1,74
8.2,11.365,40,7.0015,17,0,1,178
8.2,9.85,40,15.0013,18,0,1,155
6.56,8.335,47,11.0014,19,0,1,95
6.56,8.335,50,11.0014,20,0,1,74
5.74,6.82,59,12.998,21,0,1,38
5.74,7.575,59,11.0014,22,0,1,24
5.74,7.575,59,11.0014,23,0,1,18
5.74,8.335,59,7.0015,0,0,1,12
5.74,7.575,59,11.0014,1,0,1,3
6.56,7.575,55,12.998,2,0,1,3
6.56,9.09,55,8.9981,5,0,1,6
6.56,9.09,55,8.9981,6,0,1,27
6.56,11.365,55,0.0,7,0,1,99
7.38,10.605,51,6.0032,8,0,1,217
7.38,9.85,51,11.0014,9,0,1,130
8.2,10.605,51,11.0014,10,0,1,54
8.2,10.605,47,8.9981,11,0,1,35
8.2,11.365,51,7.0015,12,0,1,57
8.2,11.365,59,6.0032,13,0,1,52
8.2,11.365,59,6.0032,14,0,1,63
6.56,9.85,80,6.0032,15,0,1,47
6.56,7.575,86,15.0013,16,0,1,76
6.56,7.575,86,15.0013,17,0,1,136
6.56,9.09,93,7.0015,18,0,1,95
6.56,11.365,93,0.0,19,0,1,51
6.56,7.575,93,12.998,20,0,1,32
6.56,9.85,86,6.0032,21,0,1,20
6.56,9.09,93,7.0015,22,0,1,29
6.56,9.85,93,6.0032,23,0,1,19
6.56,9.85,86,6.0032,0,0,1,7
6.56,9.09,86,7.0015,1,0,1,6
5.74,7.575,86,8.9981,2,0,1,1
5.74,7.575,86,11.0014,5,0,1,5
4.92,7.575,93,8.9981,6,0,1,16
5.74,7.575,69,8.9981,7,0,1,54
6.56,8.335,59,11.0014,8,0,1,128
6.56,6.82,59,22.0028,9,0,1,81
7.38,9.09,55,15.0013,10,0,1,39
8.2,9.09,51,26.0027,11,0,1,35
8.2,7.575,47,39.0007,12,0,1,55
9.02,9.85,44,23.9994,13,0,1,49
8.2,9.09,47,22.0028,14,0,1,44
8.2,8.335,47,27.9993,15,0,1,49
9.02,9.85,44,22.0028,16,0,1,68
8.2,9.09,47,23.9994,17,0,1,139
8.2,7.575,47,35.0008,18,0,1,137
7.38,7.575,47,27.9993,19,0,1,83
6.56,6.82,50,22.0028,20,0,1,56
6.56,6.82,55,22.0028,21,0,1,57
6.56,6.06,55,30.0026,22,0,1,33
5.74,5.305,59,27.9993,23,0,1,20
5.74,6.06,59,19.0012,0,0,1,7
5.74,6.06,50,19.0012,1,0,1,2
5.74,6.06,50,23.9994,2,0,1,2
5.74,6.06,50,22.0028,3,0,1,3
5.74,6.06,50,16.9979,4,0,1,4
5.74,6.06,50,19.9995,5,0,1,3
4.92,7.575,54,8.9981,6,0,1,28
4.92,7.575,54,8.9981,7,0,1,72
5.74,6.82,50,12.998,8,0,1,202
5.74,6.06,50,22.0028,9,0,1,139
6.56,6.82,50,23.9994,10,0,1,38
8.2,8.335,44,30.0026,11,0,1,37
8.2,8.335,44,27.9993,12,0,1,52
9.02,9.85,41,30.0026,13,0,1,83
9.02,9.85,41,26.0027,14,0,1,42
9.84,10.605,38,19.9995,15,0,1,60
9.84,10.605,38,23.9994,16,0,1,78
8.2,9.09,40,19.0012,17,0,1,162
8.2,9.09,40,22.0028,18,0,1,144
6.56,7.575,47,16.9979,19,0,1,99
6.56,7.575,47,15.0013,20,0,1,64
5.74,6.06,46,19.9995,21,0,1,40
5.74,6.06,46,22.0028,22,0,1,30
4.92,6.82,50,12.998,23,0,1,15
4.92,6.82,50,12.998,0,0,1,14
4.1,6.06,54,11.0014,1,0,1,5
4.1,6.06,54,8.9981,2,0,1,1
4.1,6.82,54,7.0015,3,0,1,1
4.1,6.82,54,6.0032,5,0,1,8
4.1,9.09,54,0.0,6,0,1,17
4.1,6.06,74,11.0014,7,0,1,70
4.92,8.335,68,0.0,8,0,1,158
5.74,7.575,69,8.9981,9,0,1,117
7.38,9.09,55,12.998,10,0,1,44
7.38,8.335,51,19.0012,11,0,1,53
8.2,9.85,44,16.9979,12,0,1,61
9.02,9.85,37,26.0027,13,0,1,77
9.02,10.605,41,19.0012,14,0,1,64
9.84,12.12,38,11.0014,15,0,1,68
9.02,12.12,41,7.0015,16,0,1,90
9.02,11.365,41,11.0014,17,0,1,159
8.2,12.88,47,0.0,18,0,1,139
6.56,9.85,59,6.0032,19,0,1,92
7.38,12.12,59,0.0,20,0,1,68
6.56,11.365,69,0.0,21,0,1,52
6.56,11.365,69,0.0,22,0,1,36
7.38,12.12,55,0.0,23,0,1,27
7.38,12.12,55,0.0,0,0,0,28
6.56,9.85,59,6.0032,1,0,0,20
6.56,9.85,59,6.0032,2,0,0,12
6.56,11.365,59,0.0,3,0,0,8
6.56,11.365,59,0.0,4,0,0,5
6.56,11.365,59,0.0,5,0,0,1
5.74,8.335,63,7.0015,6,0,0,3
5.74,10.605,63,0.0,7,0,0,10
5.74,7.575,63,8.9981,8,0,0,23
6.56,9.09,64,8.9981,9,0,0,33
7.38,9.85,59,11.0014,10,0,0,59
8.2,9.85,55,15.0013,11,0,0,72
9.84,11.365,48,15.0013,12,0,0,89
11.48,12.88,38,19.9995,13,0,0,101
12.3,14.395,39,19.0012,14,0,0,118
13.12,15.91,36,12.998,15,0,0,129
13.94,16.665,34,12.998,16,0,0,128
13.12,15.15,36,19.0012,17,0,0,83
12.3,14.395,45,16.9979,18,0,0,84
13.12,15.15,39,16.9979,19,0,0,74
13.12,15.15,39,16.9979,20,0,0,41
13.12,15.15,39,15.0013,21,0,0,57
12.3,15.91,42,7.0015,22,0,0,26
12.3,14.395,45,19.0012,23,0,0,44
10.66,15.15,56,0.0,0,0,0,39
10.66,13.635,56,8.9981,1,0,0,23
10.66,14.395,56,6.0032,2,0,0,16
9.02,13.635,69,0.0,3,0,0,15
10.66,12.88,56,11.0014,4,0,0,1
10.66,12.88,56,11.0014,5,0,0,2
10.66,12.88,56,11.0014,6,0,0,1
9.84,10.605,56,19.9995,7,0,0,3
9.02,10.605,55,19.0012,8,0,0,18
9.02,10.605,51,16.9979,9,0,0,32
9.02,10.605,51,19.0012,10,0,0,79
9.84,11.365,44,16.9979,11,0,0,93
9.84,10.605,41,19.0012,12,0,0,104
10.66,11.365,35,19.9995,13,0,0,118
11.48,13.635,36,16.9979,14,0,0,91
10.66,12.12,38,16.9979,15,0,0,113
9.84,11.365,38,15.0013,16,0,0,99
9.02,10.605,37,16.9979,17,0,0,105
8.2,10.605,40,11.0014,18,0,0,67
7.38,9.85,47,8.9981,19,0,0,61
7.38,9.85,47,11.0014,20,0,0,57
7.38,9.85,51,11.0014,21,0,0,28
8.2,10.605,49,8.9981,22,0,0,21
8.2,11.365,40,7.0015,23,0,0,18
8.2,9.85,47,15.0013,0,1,0,17
8.2,9.85,44,12.998,1,1,0,16
7.38,8.335,43,16.9979,2,1,0,8
7.38,9.09,43,12.998,3,1,0,2
7.38,9.85,43,8.9981,4,1,0,3
7.38,9.85,43,11.0014,5,1,0,1
7.38,9.09,43,12.998,6,1,0,5
6.56,9.09,50,8.9981,7,1,0,13
6.56,7.575,47,15.0013,8,1,0,33
6.56,7.575,47,15.0013,9,1,0,47
6.56,7.575,50,16.9979,10,1,0,57
6.56,7.575,55,12.998,11,1,0,64
7.38,9.85,47,8.9981,12,1,0,80
7.38,9.85,47,8.9981,13,1,0,93
7.38,10.605,43,7.0015,14,1,0,86
8.2,10.605,47,11.0014,15,1,0,93
8.2,10.605,47,11.0014,16,1,0,82
8.2,9.85,51,12.998,17,1,0,71
7.38,8.335,55,16.9979,18,1,0,92
7.38,9.09,59,12.998,19,1,0,60
6.56,7.575,80,12.998,20,1,0,33
6.56,7.575,80,12.998,21,1,0,27
5.74,6.06,93,16.9979,22,1,0,13
6.56,6.82,86,19.0012,23,1,0,4
8.2,9.09,86,22.0028,12,0,1,3
8.2,9.85,86,15.0013,13,0,1,22
9.02,11.365,80,11.0014,14,0,1,28
9.02,11.365,87,11.0014,15,0,1,35
9.02,11.365,87,12.998,16,0,1,61
9.02,11.365,82,12.998,17,0,1,125
9.02,11.365,80,11.0014,18,0,1,133
9.02,11.365,80,8.9981,19,0,1,99
9.02,13.635,87,0.0,20,0,1,83
9.02,12.12,93,7.0015,21,0,1,41
9.02,12.88,93,6.0032,22,0,1,33
9.02,13.635,93,0.0,23,0,1,20
9.02,13.635,93,0.0,0,0,1,3
9.02,11.365,93,8.9981,1,0,1,7
9.02,11.365,93,8.9981,2,0,1,3
9.02,11.365,93,8.9981,4,0,1,2
9.02,12.88,93,6.0032,5,0,1,7
9.02,12.88,93,6.0032,6,0,1,32
9.84,12.88,92,7.0015,7,0,1,90
9.84,12.88,93,7.0015,8,0,1,197
9.84,12.88,93,7.0015,9,0,1,109
10.66,13.635,93,8.9981,10,0,1,47
11.48,15.15,87,6.0032,11,0,1,52
12.3,15.91,81,6.0032,12,0,1,70
16.4,20.455,62,19.0012,13,0,1,78
16.4,20.455,58,16.9979,14,0,1,75
16.4,20.455,54,19.0012,15,0,1,82
15.58,19.695,58,26.0027,16,0,1,104
14.76,16.665,57,22.0028,17,0,1,197
13.94,15.91,61,19.0012,18,0,1,161
13.12,14.395,57,27.9993,19,0,1,112
13.12,15.15,49,19.9995,20,0,1,76
13.12,14.395,49,27.9993,21,0,1,59
12.3,15.15,52,11.0014,22,0,1,59
12.3,13.635,52,31.0009,23,0,1,28
6.56,9.09,64,7.0015,0,0,1,8
6.56,9.09,69,7.0015,1,0,1,3
6.56,11.365,69,0.0,2,0,1,2
6.56,11.365,69,0.0,3,0,1,2
5.74,10.605,93,0.0,5,0,1,3
5.74,10.605,93,0.0,6,0,1,22
6.56,11.365,93,0.0,7,0,1,52
6.56,11.365,93,0.0,8,0,1,135
6.56,11.365,93,0.0,9,0,1,116
6.56,11.365,93,0.0,10,0,1,47
7.38,12.12,86,0.0,11,0,1,51
8.2,12.88,86,0.0,12,0,1,55
8.2,12.88,86,0.0,13,0,1,52
9.02,12.88,80,6.0032,14,0,1,54
9.84,14.395,75,0.0,15,0,1,52
9.84,12.12,75,8.9981,16,0,1,64
9.84,14.395,75,0.0,17,0,1,176
9.84,12.88,81,7.0015,18,0,1,168
9.84,12.12,81,8.9981,19,0,1,108
9.02,11.365,87,8.9981,20,0,1,74
9.02,11.365,87,8.9981,21,0,1,64
9.02,12.88,87,6.0032,22,0,1,36
8.2,9.85,93,12.998,23,0,1,16
9.02,12.12,93,7.0015,0,0,1,2
9.02,11.365,93,12.998,1,0,1,3
9.02,11.365,93,8.9981,2,0,1,4
9.02,11.365,93,8.9981,3,0,1,1
9.02,10.605,93,19.0012,4,0,1,1
9.02,12.12,93,7.0015,5,0,1,3
9.02,12.12,93,7.0015,6,0,1,18
9.02,10.605,93,15.0013,7,0,1,49
9.02,10.605,93,15.0013,8,0,1,155
9.84,12.88,93,6.0032,9,0,1,123
9.02,13.635,100,0.0,10,0,1,61
9.84,11.365,93,12.998,11,0,1,52
9.84,11.365,93,15.0013,12,0,1,64
13.94,16.665,93,11.0014,13,0,1,75
15.58,19.695,82,26.0027,14,0,1,63
15.58,19.695,76,22.0028,15,0,1,76
14.76,16.665,71,19.9995,16,0,1,103
14.76,15.91,53,35.0008,17,0,1,190
13.94,14.395,42,36.9974,18,0,1,182
11.48,12.12,45,32.9975,19,0,1,91
9.84,9.85,48,36.9974,20,0,1,75
9.02,9.85,47,22.0028,21,0,1,63
9.02,10.605,44,16.9979,22,0,1,40
8.2,8.335,44,30.0026,23,0,1,32
8.2,8.335,40,30.0026,0,0,1,12
8.2,7.575,44,35.0008,1,0,1,5
7.38,8.335,43,16.9979,2,0,1,2
7.38,8.335,43,16.9979,3,0,1,1
6.56,6.82,50,19.9995,5,0,1,2
6.56,6.82,43,23.9994,6,0,1,39
5.74,6.06,50,22.0028,7,0,1,87
5.74,6.06,50,23.9994,8,0,1,188
6.56,6.82,47,19.9995,9,0,1,133
7.38,7.575,43,22.0028,10,0,1,52
7.38,6.82,43,30.0026,11,0,1,64
8.2,9.09,40,23.9994,12,0,1,69
8.2,8.335,40,27.9993,13,0,1,51
9.02,9.85,37,26.0027,14,0,1,47
9.02,9.85,37,22.0028,15,0,1,60
9.02,10.605,37,16.9979,16,0,1,78
8.2,9.85,40,12.998,17,0,1,175
8.2,10.605,40,11.0014,18,0,1,147
8.2,12.88,40,0.0,19,0,1,96
8.2,11.365,47,6.0032,20,0,1,109
7.38,10.605,55,7.0015,21,0,1,54
7.38,10.605,51,6.0032,22,0,1,41
8.2,11.365,47,7.0015,23,0,1,38
8.2,12.88,44,0.0,0,0,1,13
6.56,11.365,59,0.0,1,0,1,7
5.74,8.335,63,7.0015,2,0,1,1
5.74,8.335,63,7.0015,3,0,1,1
5.74,7.575,63,8.9981,5,0,1,7
6.56,11.365,55,0.0,6,0,1,28
5.74,10.605,59,0.0,7,0,1,87
5.74,7.575,74,8.9981,8,0,1,220
6.56,9.09,80,8.9981,9,0,1,127
8.2,10.605,51,8.9981,10,0,1,51
9.02,11.365,51,11.0014,11,0,1,64
9.84,12.12,48,11.0014,12,0,1,86
10.66,12.88,50,15.0013,13,0,1,82
11.48,13.635,45,11.0014,14,0,1,91
11.48,13.635,48,16.9979,15,0,1,90
12.3,14.395,42,15.0013,16,0,1,99
10.66,13.635,56,8.9981,17,0,1,205
9.84,12.88,60,7.0015,18,0,1,155
9.84,12.12,65,8.9981,19,0,1,103
9.84,12.12,65,11.0014,20,0,1,71
9.84,12.12,70,11.0014,21,0,1,43
9.84,12.12,65,11.0014,22,0,1,46
9.84,12.12,70,8.9981,23,0,1,31
9.84,12.12,70,11.0014,0,0,0,39
9.84,12.12,65,11.0014,1,0,0,18
9.84,12.12,75,11.0014,2,0,0,17
9.84,12.12,75,11.0014,3,0,0,11
9.02,11.365,93,8.9981,4,0,0,8
8.2,11.365,100,6.0032,5,0,0,9
8.2,12.88,100,0.0,6,0,0,4
9.02,12.88,93,6.0032,7,0,0,4
8.2,11.365,100,6.0032,8,0,0,10
8.2,11.365,100,6.0032,9,0,0,20
8.2,10.605,100,8.9981,10,0,0,34
9.02,11.365,100,8.9981,11,0,0,47
9.02,11.365,100,11.0014,12,0,0,52
9.02,11.365,100,11.0014,13,0,0,72
9.02,13.635,100,0.0,14,0,0,55
9.02,13.635,100,0.0,15,0,0,60
9.02,11.365,100,8.9981,16,0,0,71
9.84,10.605,100,19.0012,17,0,0,78
11.48,12.12,93,30.0026,18,0,0,83
11.48,12.12,93,30.0026,19,0,0,84
12.3,14.395,87,16.9979,20,0,0,69
10.66,12.88,100,12.998,21,0,0,56
10.66,13.635,93,8.9981,22,0,0,45
10.66,12.88,93,15.0013,23,0,0,59
10.66,12.88,70,12.998,0,0,0,39
10.66,11.365,65,27.9993,1,0,0,44
10.66,11.365,60,22.0028,2,0,0,20
10.66,14.395,60,6.0032,3,0,0,13
10.66,11.365,60,23.9994,4,0,0,2
10.66,12.88,60,15.0013,5,0,0,1
10.66,12.88,60,15.0013,6,0,0,1
9.84,12.12,65,11.0014,7,0,0,8
9.84,12.88,65,7.0015,8,0,0,23
11.48,14.395,56,7.0015,9,0,0,45
12.3,14.395,52,16.9979,10,0,0,89
13.12,15.15,49,16.9979,11,0,0,117
13.94,16.665,46,0.0,12,0,0,174
13.94,18.18,46,0.0,13,0,0,182
13.94,17.425,46,6.0032,14,0,0,161
13.94,17.425,46,6.0032,15,0,0,182
13.94,17.425,49,7.0015,16,0,0,157
13.94,18.18,46,0.0,17,0,0,121
12.3,15.15,56,11.0014,18,0,0,78
11.48,14.395,61,8.9981,19,0,0,21
11.48,14.395,61,7.0015,20,0,0,26
10.66,15.15,60,0.0,21,0,0,27
10.66,15.15,60,0.0,22,0,0,62
9.84,14.395,65,0.0,23,0,0,30
9.84,14.395,65,0.0,0,0,1,15
9.02,13.635,75,0.0,1,0,1,5
8.2,12.88,80,0.0,2,0,1,3
8.2,12.88,86,0.0,3,0,1,1
8.2,12.88,86,0.0,4,0,1,2
8.2,12.88,86,0.0,5,0,1,10
7.38,12.12,93,0.0,6,0,1,30
7.38,12.12,86,0.0,7,0,1,95
6.56,11.365,100,0.0,8,0,1,230
9.02,13.635,80,0.0,9,0,1,118
9.84,12.88,75,7.0015,10,0,1,55
12.3,15.91,65,6.0032,11,0,1,47
13.12,17.425,62,0.0,12,0,1,66
14.76,18.18,57,6.0032,13,0,1,64
14.76,18.18,57,6.0032,14,0,1,60
15.58,19.695,54,6.0032,15,0,1,50
14.76,17.425,57,8.9981,16,0,1,114
13.12,15.91,70,11.0014,17,0,1,216
13.94,16.665,66,8.9981,18,0,1,175
13.12,17.425,70,0.0,19,0,1,128
13.12,16.665,70,7.0015,20,0,1,88
13.12,17.425,70,0.0,21,0,1,78
11.48,15.15,81,6.0032,22,0,1,37
12.3,16.665,81,0.0,23,0,1,25
11.48,15.91,87,0.0,0,0,1,10
11.48,15.91,87,0.0,1,0,1,4
10.66,13.635,93,7.0015,2,0,1,2
11.48,13.635,93,11.0014,3,0,1,1
10.66,12.88,93,11.0014,4,0,1,3
10.66,11.365,81,22.0028,5,0,1,2
10.66,11.365,70,22.0028,6,0,1,39
9.84,9.85,65,27.9993,7,0,1,100
9.84,9.85,56,32.9975,8,0,1,243
9.84,9.85,52,32.9975,9,0,1,135
9.02,9.09,47,36.9974,10,0,1,48
9.02,9.09,47,31.0009,11,0,1,50
9.84,9.85,38,32.9975,12,0,1,65
9.84,9.85,32,30.0026,13,0,1,50
9.02,9.85,37,27.9993,14,0,1,64
9.02,9.85,35,26.0027,15,0,1,51
